s,l,m,a,omega,lambda_gsn,N,r_match,mapping,rel_abs_B_inc,rel_abs_B_ref,rel_complex_B_inc,rel_complex_B_ref,flux_balance_error,score,B_inc_spectral,B_ref_spectral,B_inc_gsn,B_ref_gsn,T_spectral,R_spectral,cond_outer_down,cond_outer_up,cond_inner,status
0,0,0,0.0,0.01,0.0,112,20.0,sinh,8.912719587664702e-11,8.939287135268215e-11,9.629194195926007e-11,8.952265829867693e-11,9.015010959956271e-14,8.939287135268215e-11,-2.0041376624577523e+00+4.8262801554227906e+01j,-3.9418283077172798e+00-4.8101731478456728e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994911559589,0.9982857005089343,60777941.80415508,60777941.80415508,37643745.82307949,ok
0,0,0,0.0,0.01,0.0,128,20.0,sinh,5.829627146739395e-11,5.852591669300278e-11,5.934237136286143e-11,5.854382199549711e-11,1.241229341530925e-13,5.852591669300278e-11,-2.0041376611722410e+00+4.8262801552790741e+01j,-3.9418283072942475e+00-4.8101731476996676e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.001714299491261666,0.9982857005088626,110726258.50672306,110726258.50672306,67658067.45699279,ok
0,0,0,0.0,0.01,0.0,160,20.0,sinh,1.316008408864477e-10,1.321155597529681e-10,1.537883776085364e-10,1.9658731546670078e-10,7.106537580625627e-13,1.321155597529681e-10,-2.0041376564157991e+00+4.8262801543807477e+01j,-3.9418283136146806e+00-4.8101731467246957e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.001714299491912747,0.9982857005073766,301797262.01240134,301797262.01240134,181563244.07976654,ok
0,0,0,0.0,0.01,0.0,192,20.0,sinh,4.642525645911354e-12,4.600870930071114e-12,1.2303038681672802e-11,9.119917205239758e-11,2.3359092438113294e-13,4.642525645911354e-12,-2.0041376599794396e+00+4.8262801550246323e+01j,-3.9418283115324444e+00-4.8101731474038054e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.001714299491445623,0.9982857005083208,684886252.7997805,684886252.7997805,408705710.38173425,ok
0,0,0,0.0,0.01,0.0,224,20.0,sinh,1.6145945470606567e-10,1.603854978945695e-10,1.8767735173553018e-10,1.8639295998109504e-10,2.5632829192545614e-12,1.6145945470606567e-10,-2.0041376555789161e+00+4.8262801542398684e+01j,-3.9418283110689440e+00-4.8101731466086612e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994920151201,0.9982857005105482,1369583897.9919086,1369583897.9919086,813480600.4974344,ok
0,0,0,0.0,0.01,0.0,64,25.0,sinh,6.619949436601963e-12,6.561147287112389e-12,8.205788163452925e-12,7.372236099172698e-12,5.773159728050814e-15,6.619949436601963e-12,-2.0041376602727454e+00+4.8262801549689641e+01j,-3.9418283069454869e+00-4.8101731473873429e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994914842377,0.9982857005085216,5022366.0665190015,5022366.0665190015,2483209.6071743425,ok
0,0,0,0.0,0.01,0.0,80,25.0,sinh,3.6063749963818845e-11,3.608321839278709e-11,3.8836601528985505e-11,3.60832482196162e-11,2.1926904736346842e-13,3.608321839278709e-11,-2.0041376612878294e+00+4.8262801551711085e+01j,-3.9418283072776443e+00-4.8101731475911251e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.001714299491337892,0.9982857005084428,13669216.179818429,13669216.179818429,6090781.820799995,ok
0,0,0,0.0,0.01,0.0,96,25.0,sinh,5.089258968259593e-12,5.332570028418476e-12,5.1052277758980794e-12,1.478489048242544e-11,3.339550858072471e-13,5.332570028418476e-12,-2.0041376605497150e+00+4.8262801550244241e+01j,-3.9418283078173864e+00-4.8101731474377928e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994914440912,0.9982857005088899,30991654.926811237,30991654.926811237,12958169.567033062,ok
0,0,0,0.0,0.01,0.0,112,25.0,sinh,7.987803623140086e-11,7.999959216317374e-11,8.659223204186983e-11,8.024521499496357e-11,1.0336176359260207e-13,7.999959216317374e-11,-2.0041376587464050e+00+4.8262801546211293e+01j,-3.9418283065158835e+00-4.8101731470352398e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.00171429949173541,0.9982857005081612,61935225.960437775,61935225.960437775,24866552.72586149,ok
0,0,0,0.0,0.01,0.0,128,25.0,sinh,3.666125762117102e-11,3.683552873334142e-11,4.034320983257092e-11,6.409983876389631e-11,8.770761894538737e-14,3.683552873334142e-11,-2.0041376614061548e+00+4.8262801551735059e+01j,-3.9418283047548912e+00-4.8101731476154413e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994913358436,0.9982857005087519,112845250.51864392,112845250.51864392,44102791.0641892,ok
