branch,subdomain,k,abs_coeff,normalized_abs_coeff,real_coeff,imag_coeff
up,outer,104,1.2836000177515642e-13,1.2837154139057963e-13,-1.6154349251961472e-14,1.2733941674110106e-13
up,outer,105,1.0998381255342540e-13,1.0999370014209861e-13,-2.9273439557599078e-15,1.0994484836112918e-13
up,outer,106,9.8634831646519474e-14,9.8643698957276663e-14,-4.7354200181661500e-15,9.8521093229768769e-14
up,outer,107,1.0912812151478634e-13,1.0913793217649344e-13,-3.9806981946457586e-15,1.0905549480530139e-13
up,outer,108,1.2100626750932321e-13,1.2101714602109903e-13,1.2791372622509809e-14,1.2032829078388007e-13
up,outer,109,1.1276526033817627e-13,1.1277539798011616e-13,2.5393768988420894e-14,1.0986883286764897e-13
up,outer,110,9.0924939084163248e-14,9.0933113272499944e-14,1.5524198093869795e-14,8.9589864499289693e-14
up,outer,111,8.8786576048185610e-14,8.8794557996831372e-14,2.1146041889878307e-16,8.8786324233248258e-14
up,outer,112,1.0272991535955903e-13,1.0273915081997749e-13,6.7261491691952128e-15,1.0250948457160389e-13
up,outer,113,1.0367973007956729e-13,1.0368905092870840e-13,2.5867357515353752e-14,1.0040102710901320e-13
up,outer,114,8.8686400975047935e-14,8.8694373917914612e-14,2.7104730291636190e-14,8.4442947092842767e-14
up,outer,115,7.9881159483465039e-14,7.9888340831605046e-14,1.1417005637833778e-14,7.9061062620536849e-14
up,outer,116,8.7780580915226516e-14,8.7788472424508060e-14,4.9342887361526230e-15,8.7641789007772469e-14
up,outer,117,9.2819217057095958e-14,9.2827561541778952e-14,1.5666867026251676e-14,9.1487465440212310e-14
up,outer,118,8.1913835661734934e-14,8.1921199748275158e-14,2.1235216868375045e-14,7.9113475700229457e-14
up,outer,119,6.4214498703389451e-14,6.4220271612468475e-14,5.8507490689798167e-15,6.3947404787523914e-14
up,outer,120,6.5362228477199949e-14,6.5368104567644003e-14,-1.2612133559741778e-14,6.4133883389179872e-14
up,outer,121,7.5962930269403119e-14,7.5969759367171941e-14,-6.9466317128702313e-15,7.5644636842012439e-14
up,outer,122,7.6189480298323472e-14,7.6196329763030372e-14,1.6078453803422612e-14,7.4473621044097383e-14
up,outer,123,6.2896855329704725e-14,6.2902509782118226e-14,2.4458277211076076e-14,5.7946588219082947e-14
up,outer,124,5.5262560503857056e-14,5.5267528630116770e-14,9.3955146870127078e-15,5.4458010404426179e-14
up,outer,125,6.8025136596167625e-14,6.8031252083115070e-14,-3.5423413683850550e-15,6.7932842032091455e-14
