branch,subdomain,node_index,z,abs_residual,relative_residual,term_scale,radial_abs_residual,radial_relative_residual,radial_term_scale,real_residual,imag_residual
down,outer,83,1.2464711006085939e-02,1.6516650514574470e-09,1.3654511804779162e-10,1.2096112076884024e+01,1.6514782411521315e-09,1.3284089892316128e-13,1.2432001398209377e+04,-7.8257667013303944e-10,1.4545003257371292e-09
down,outer,84,1.2735844977420648e-02,1.6124003690317821e-09,1.3329027312135896e-10,1.2096909483887949e+01,1.6126011938781762e-09,1.3534572454926321e-13,1.1914681451878598e+04,5.2326143418213178e-10,1.5251335749866257e-09
down,outer,85,1.3008793400365454e-02,2.3807222161778225e-09,1.9679103374566868e-10,1.2097716907441272e+01,2.3792586418681680e-09,2.0823033504189405e-13,1.1426090446377482e+04,-2.2752475459242305e-09,-7.0077590952344337e-10
down,outer,86,1.3283509506613224e-02,1.5494133318747340e-09,1.2806620141411415e-10,1.2098534310895658e+01,1.5499725336332197e-09,1.4136537583634285e-13,1.0964301014044670e+04,-1.3690835132251777e-09,-7.2545985885241748e-10
down,outer,87,1.3559946224973403e-02,5.5475182354317885e-10,4.5849676953148997e-11,1.2099361662025363e+01,5.5476405112632749e-10,5.2696474721400963e-14,1.0527536311665799e+04,-3.3295144419298595e-11,5.5375176666316861e-10
down,outer,88,1.3838056189437389e-02,2.1803097523485169e-09,1.8018792708514522e-10,1.2100198873580709e+01,2.1805847287915827e-09,2.1559728592903077e-13,1.0114156675930404e+04,2.1397603688910749e-09,-4.1854053556278359e-10
down,outer,89,1.4117791747294502e-02,1.4808097297253945e-09,1.2237039170998526e-10,1.2101045923223619e+01,1.4813787411636902e-09,1.5236371843639474e-13,9.7226475985626566e+03,5.4690740824980821e-10,1.3761140005286165e-09
down,outer,90,1.4399104967296962e-02,3.5047449573053443e-10,2.8960280387940866e-11,1.2101902710737320e+01,3.5041548225979895e-10,3.7471143934415934e-14,9.3516088773034389e+03,6.5043970209899271e-11,3.4438590867935659e-10
down,outer,91,1.4681947647872748e-02,5.0448978037806655e-10,4.1683830447911360e-11,1.2102769226270684e+01,5.0480970675261536e-10,5.6091557822256159e-14,8.9997448163637127e+03,-4.1526604377395415e-10,-2.8646823801992127e-10
down,outer,92,1.4966271325384603e-02,2.0504311583351921e-10,1.6940608403153068e-11,1.2103645332794279e+01,2.0476763721426530e-10,2.3629247039590319e-14,8.6658553643787855e+03,-2.0129764521925608e-10,-3.9012015840000913e-11
down,outer,93,1.5252027282434103e-02,1.0902399277608645e-09,9.0068745757456575e-11,1.2104531028962466e+01,1.0908995387661886e-09,1.3066498996455179e-13,8.3488280913054041e+03,-8.9691720717155476e-10,6.1980853782728218e-10
down,outer,94,1.5539166556209077e-02,4.5257570782061154e-10,3.7386185397323238e-11,1.2105426189134953e+01,4.5228413805364154e-10,5.6200904681419493e-14,8.0476309165743842e+03,2.7656543721832350e-10,3.5824060384825884e-10
down,outer,95,1.5827639946873161e-02,1.2430780077907022e-09,1.0267999721752956e-10,1.2106330750644815e+01,1.2430008283430141e-09,1.6015357552219184e-13,7.7613055112264819e+03,5.2994852950405402e-10,-1.1244543074440116e-09
down,outer,96,1.6117398025995922e-02,1.4447220627892932e-10,1.1932707287384675e-11,1.2107244634389559e+01,1.4401565111854327e-10,1.9230390604522624e-14,7.4889613050643657e+03,1.1701306590339300e-10,8.4735829464221979e-11
down,outer,97,1.6408391145022190e-02,3.6295853130626514e-10,2.9976338223345701e-11,1.2108167735563896e+01,3.6325973617260679e-10,5.0244991787578508e-14,7.2297700377455594e+03,-1.0409451078885468e-10,-3.4771141521616755e-10
down,outer,98,1.6700569443779057e-02,8.6722507814783261e-10,7.1617632936918939e-11,1.2109099988150788e+01,8.6741116111708323e-10,1.2421824868140466e-13,6.9829607994379476e+03,-3.4370284396345596e-10,-7.9620832149629450e-10
down,outer,99,1.6993882859019170e-02,6.1489925970751910e-10,5.0775983830604041e-11,1.2110041269882846e+01,6.1513833757115831e-10,9.1161107832910314e-14,6.7478155124951827e+03,2.1579094067192273e-10,-5.7579108148075875e-10
down,outer,100,1.7288281132998809e-02,2.4428294784857769e-10,2.0170350871527185e-11,1.2110991494620539e+01,2.4431343748102320e-10,3.7450335748261740e-14,6.5236648109987382e+03,-7.7893247407700983e-13,-2.4428170597445842e-10
down,outer,101,1.7583713822089283e-02,1.0350540709770850e-09,8.5457256942993602e-11,1.2111950558716664e+01,1.0350097049567591e-09,1.6402990278659395e-13,6.3098842794738866e+03,2.1311130637968745e-10,1.0128773375583933e-09
down,outer,102,1.7880130305420218e-02,7.9267663587811953e-10,6.5440599265079203e-11,1.2112918353134830e+01,7.9316741065343702e-10,1.2990199276984976e-13,6.1058910163041865e+03,-7.9122131069198076e-10,4.8011317144158738e-11
down,outer,103,1.8177479793553147e-02,5.9660664971316614e-11,4.9249779843537062e-12,1.2113894754627161e+01,5.9592727449272592e-11,1.0081426340801123e-14,5.9111404909136145e+03,-5.3740123462375777e-11,2.5911273127121603e-11
down,outer,104,1.8475711337184054e-02,1.0580666688321756e-09,8.7336127042689136e-11,1.2114879657017557e+01,1.0577983491965678e-09,1.8476427946608687e-13,5.7251236670490989e+03,2.9874236417981592e-10,1.0150162932376361e-09
down,outer,105,1.8774773835873209e-02,3.5641054646120154e-10,2.9416827661468151e-11,1.2115872947375916e+01,3.5607465768957548e-10,6.4188078178327026e-14,5.5473643672635044e+03,-2.4011903576592886e-10,2.6338436986961256e-10
down,outer,106,1.9074616046801059e-02,2.1409517209345623e-10,1.7669174701918623e-11,1.2116874483685336e+01,2.1392978397384231e-10,3.9783001706889136e-14,5.3774168563252624e+03,-1.9434320819300410e-10,8.9819041093619489e-11
down,outer,107,1.9375186593548352e-02,1.7761263254740436e-10,1.4657066413938905e-11,1.2117884133928349e+01,1.7784570081419234e-10,3.4103614908128212e-14,5.2148636234983060e+03,-6.5759842016177572e-11,1.6499057675645190e-10
down,outer,108,1.9676433974899238e-02,9.8035848694143577e-11,8.0894993983590803e-12,1.2118901784457726e+01,9.7633900301413609e-11,1.9297855980040028e-14,5.0593133456067535e+03,-9.6817664996251551e-11,1.5406731446176991e-11
down,outer,109,1.9978306573665752e-02,1.2801300131698717e-10,1.0562192183303242e-11,1.2119927293062387e+01,1.2759983978950767e-10,2.5985635670246620e-14,4.9103990146220913e+03,-1.2366641044536664e-10,3.3074876171212964e-11
down,outer,110,2.0280752665532149e-02,8.6685895226866186e-10,7.1517348154440200e-11,1.2120960503131329e+01,8.6677084089121899e-10,1.8179771905847601e-13,4.7677762151263214e+03,4.5127546144385633e-10,7.4013167816744385e-10
